Thread Name,Function Name,Stack Allocated(KB),Maximum Stack Required(KB),Error Info
sleep,sleep_task,4,xxxxx,Function Missing
SlimBusQmiSvc,slimbus_qmi_service_thread,4,0.797
SMSM_QDI,signal_invoke,1.9,0.07
SNS_DEBUG,sns_debug_task,3,xxxxx,Function Missing
SNS_EVMGR,em_thread,1,xxxxx,Function Missing
SNS_PM,sns_pm_main,3,xxxxx,Function Missing
SNS_SAM,sns_sam_task,6,xxxxx,Function Missing
SNS_SCM,sns_scm_task,3,xxxxx,Function Missing
SNS_SMGR,sns_os_sigs_pend,6,xxxxx,Function Missing
sys_m,sys_m_task,4,xxxxx,Function Missing
sys_m_smsm,sys_m_smsm_task,4,0.953
thread_SigVerif,SigVerify_Init,8,0.375
timer,timer_task,4,0.93
TXSR,stream_router_svc_workloop,4,0.922
USM,usm_workloop,4,0.797
VDC0,vdec_thread,24,xxxxx,Function Missing
VDP0,vdec_pp_thread,24,xxxxx,Function Missing
VDP1,VDecParserWorkLoop,16,xxxxx,Function Missing
VDS1,vds_thread,2,0.766
VDW0,VDecWorkersWorkLoop,16,xxxxx,Function Missing
VDW1,VDecWorkersWorkLoop,16,xxxxx,Function Missing
VDW2,VDecWorkersWorkLoop,16,xxxxx,Function Missing
VEC0,venc_thread,24,xxxxx,Function Missing
VfrD,vfr_svc_work_loop,4,0.875
VIDDS,VideoDecSvc_WorkLoop,2,xxxxx,Function Missing
VideoEncDynServ,VideoEncSvc_WorkLoop,4,xxxxx,Function Missing
VISM,VideoStreamMgr_WorkLoop,8,xxxxx,Function Missing
VISM,VideoStreamMgr_WorkLoop,8,xxxxx,Function Missing
VMX1,vmx_workloop,4,0.828
VMX2,vmx_workloop,4,0.828
VPM,voice_proc_mgr_thread,7,xxxxx,Function Missing
VPR0,vprx_thread,16,xxxxx,Function Missing
VPT0,vptx_thread,128,xxxxx,Function Missing
VSM,vsm_thread,4,xxxxx,Function Missing
VTM,vtm_thread,2,0.82
WDT_ist,WDT_task,3,xxxxx,Function Missing
