Channel  SlaveId  Periph
0.       0x0      0x50
1.       0x0      0x51
2.       0x0      0x52
3.       0x0      0x53
4.       0x0      0x54
5.       0x0      0x55
6.       0x0      0x56
7.       0x0      0x59
8.       0x0      0x5A
9.       0x0      0x5B
10.      0x0      0x5C
11.      0x0      0x5D
12.      0x0      0x72
13.      0x1      0x14
14.      0x1      0x17
15.      0x1      0x1A
16.      0x1      0x1D
17.      0x1      0x20
18.      0x1      0x23
19.      0x1      0x26
20.      0x1      0x29
21.      0x1      0x2C
22.      0x1      0x2F
23.      0x1      0x32
24.      0x1      0x35
25.      0x1      0x38
26.      0x1      0x40
27.      0x1      0x41
28.      0x1      0x42
29.      0x1      0x43
30.      0x1      0x44
31.      0x1      0x45
32.      0x1      0x46
33.      0x1      0x47
34.      0x1      0x48
35.      0x1      0x49
36.      0x1      0x4A
37.      0x1      0x4B
38.      0x1      0x4C
39.      0x1      0x4D
40.      0x1      0x4E
41.      0x1      0x4F
42.      0x1      0x50
43.      0x1      0x51
44.      0x1      0x52
45.      0x1      0x53
46.      0x1      0x54
47.      0x1      0x55
48.      0x1      0x56
49.      0x1      0x57
50.      0x1      0x58
51.      0x1      0x59
52.      0x1      0x5A
53.      0x1      0x5B
54.      0x1      0x5C
55.      0x1      0x80
56.      0x1      0x81
57.      0x2      0x72
58.      0x3      0xA0
59.      0x4      0x72
60.      0x5      0x14
61.      0x5      0x17
62.      0x5      0x1A
63.      0x5      0x1D
64.      0xE      0x72
65.      0x0      0xD7
