Channel  Owner  SlaveId  Periph
0.       4.      0x0     0x01
1.       4.      0x0     0x05
2.       4.      0x0     0x06
3.       4.      0x0     0x09
4.       4.      0x0     0x0B
5.       4.      0x0     0x0C
6.       4.      0x0     0x1C
7.       4.      0x0     0x2C
8.       4.      0x0     0x3C
9.       4.      0x0     0x51
10.      4.      0x0     0x52
11.      4.      0x0     0x53
12.      4.      0x0     0x59
13.      4.      0x0     0x5A
14.      4.      0x0     0x71
15.      4.      0x0     0x72
16.      4.      0x0     0xCE
17.      4.      0x0     0xD3
18.      4.      0x0     0xD5
19.      4.      0x0     0xD7
20.      4.      0x0     0xD8
21.      4.      0x0     0xD9
22.      4.      0x1     0x01
23.      4.      0x1     0x10
24.      4.      0x1     0x14
25.      4.      0x1     0x15
26.      4.      0x1     0x16
27.      4.      0x1     0x17
28.      4.      0x1     0x18
29.      4.      0x1     0x19
30.      4.      0x1     0x1A
31.      4.      0x1     0x1B
32.      4.      0x1     0x1C
33.      4.      0x1     0x1D
34.      4.      0x1     0x1E
35.      4.      0x1     0x1F
36.      4.      0x1     0x20
37.      4.      0x1     0x21
38.      4.      0x1     0x22
39.      4.      0x1     0x23
40.      4.      0x1     0x24
41.      4.      0x1     0x25
42.      4.      0x1     0x26
43.      4.      0x1     0x27
44.      4.      0x1     0x28
45.      4.      0x1     0x29
46.      4.      0x1     0x2A
47.      4.      0x1     0x2B
48.      4.      0x1     0x2C
49.      4.      0x1     0x2D
50.      4.      0x1     0x2E
51.      4.      0x1     0x2F
52.      4.      0x1     0x30
53.      4.      0x1     0x31
54.      4.      0x1     0x32
55.      4.      0x1     0x33
56.      4.      0x1     0x34
57.      4.      0x1     0x36
58.      4.      0x1     0x37
59.      4.      0x1     0x39
60.      4.      0x1     0x3A
61.      4.      0x1     0x40
62.      4.      0x1     0x41
63.      4.      0x1     0x42
64.      4.      0x1     0x43
65.      4.      0x1     0x44
66.      4.      0x1     0x45
67.      4.      0x1     0x46
68.      4.      0x1     0x47
69.      4.      0x1     0x48
70.      4.      0x1     0x49
71.      4.      0x1     0x4A
72.      4.      0x1     0x4B
73.      4.      0x1     0x4C
74.      4.      0x1     0x4D
75.      4.      0x1     0x4E
76.      4.      0x1     0x4F
77.      4.      0x1     0x50
78.      4.      0x1     0x51
79.      4.      0x1     0x52
80.      4.      0x1     0x53
81.      4.      0x1     0x54
82.      4.      0x1     0x55
83.      4.      0x1     0x56
84.      4.      0x1     0x57
85.      4.      0x1     0x58
86.      4.      0x1     0x59
87.      4.      0x1     0x5A
88.      4.      0x1     0x5B
89.      4.      0x1     0x5C
90.      4.      0x1     0x80
91.      4.      0x1     0x81
92.      4.      0xe     0x05
93.      4.      0xe     0x06
94.      4.      0xe     0x72
