Channel  SlaveId  Periph
0.       0x0      0x50
1.       0x0      0x51
2.       0x0      0x52
3.       0x0      0x53
4.       0x0      0x54
5.       0x0      0x55
6.       0x0      0x59
7.       0x0      0x5A
8.       0x0      0x5B
9.       0x1      0x14
10.      0x1      0x17
11.      0x1      0x1A
12.      0x1      0x1D
13.      0x1      0x20
14.      0x1      0x23
15.      0x1      0x40
16.      0x1      0x41
17.      0x1      0x42
18.      0x1      0x44
19.      0x1      0x45
20.      0x1      0x46
21.      0x1      0x47
22.      0x1      0x48
23.      0x1      0x49
24.      0x1      0x4A
25.      0x1      0x4B
26.      0x1      0x4C
27.      0x1      0x4D
28.      0x1      0x4E
29.      0x1      0x4F
30.      0x1      0x50
31.      0x1      0x51
32.      0x1      0x52
33.      0x2      0x59
34.      0x3      0x14
35.      0x3      0x17
36.      0x3      0x1A
37.      0x3      0x1D
38.      0x3      0x20
39.      0x3      0x40
40.      0x3      0x41
41.      0x3      0x42
42.      0x3      0x43
43.      0x3      0x44
44.      0x3      0x45
45.      0x3      0x46
46.      0x3      0x47
47.      0x3      0x48
48.      0x3      0x49
49.      0x3      0xA0
50.      0x0      0x72
51.      0x2      0x72
52.      0xE      0x72
